epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,972.808,0,46.9799,0,0,0,0,0,0,769.823,0,0.00033263,0.00033263,0.00033263
2,1923.87,0,22.9067,0,0,0,0,0,0,27.0362,0,0.000632998,0.000632998,0.000632998
3,2818.1,0,6.50991,0,0,0,0,0,0,5.47841,0,0.000900366,0.000900366,0.000900366
4,3740.05,0,1.10958,0,0,0,0,0,0,0.80094,0,0.0008515,0.0008515,0.0008515
5,4679.31,0,0.12257,0,0,0,0,0,0,0.77964,0,0.000802,0.000802,0.000802
6,5699.59,0,0.01146,0,0,0,0,0,0,0.02016,0,0.0007525,0.0007525,0.0007525
